Reference;Value;Qty;Manufacturer;Manufacturer Part Number;Supplier;Supplier Part Number
BT1;BATT LI-PO 3.7V 165MAH;1;BAK TECHNOLOGY;LP-402025-1S-3;FARNELL;2077885
C1,C2,C6,C7,C8,C12,C13;CAP CER 1UF 10V X5R 0402;7;Yageo;CC0402KRX5R6BB105;Farnell;1458896
C3,C4;CAP CER 4.7UF 6.3V X5R 0402;2;Yageo;CC0402KRX5R5BB475;Farnell;3369135
C5;CAP CER 0.47UF 10V X5R 0402;1;Yageo;CC0402KRX5R6BB474;Farnell;3369138
C9,C10,C11,C14;CAP CER 0.1UF 16V X7R 0402;4;Yageo;CC0402JRX7R7BB104;Farnell;3369125
D1;DIODE SCHOTTKY 20V 500MA SOD123;1;STMicroelectronics;STPS0520Z;FARNELL;1467545
D4,D5;LED RGB CLEAR 4SMD;2;KINGBRIGHT;APHF1608LSEEQBDZGKC;DIGIKEY;754-2143-1-ND
F1;PTC RESET FUSE 16V 500MA 1210;1;BEL;0ZCH0050FF2G;Farnell;2848519
J1;CONN RCP USB3.1 TYPEC 24P SMD RA;1;MOLEX;105450-0101;FARNELL;2524076
J2;MOLEX 53048-0310;1;MOLEX;53048-0310;FARNELL;9732918
J4;CONN HEADER R/A 4POS 2.54MM;1;AMPHENOL COMMUNICATIONS SOLUTIONS;77315-118-04LF;FARNELL;3728851
R1;RES SMD 3K OHM 1% 1/16W 0402;1;Yageo;AC0402FR-073KL;Farnell;3951323
R2,R4;RES 5.1K OHM 0.5% 1/10W 0402;2;PANASONIC;ERJ-U2RD5101X;FARNELL;3516311
R3;RES 5.9K OHM 1% 1/16W 0402;1;Yageo;RC0402FR-075K9L;Farnell;3951010
R5,R9,R10,R11,R13,R14;RES 10K OHM 1% 1/16W 0402;6;Yageo;RC0402FR-0710KL;Farnell;9239359
R6,R7,R17;RES 1K OHM 1% 1/16W 0402;3;Yageo;RC0402FR-071KL;Farnell;9239235
R8,R19;RES 4.7K OHM 1% 1/16W 0402;2;Yageo;RC0402FR-074K7L;Farnell;9239316
R12;RES 0.01 OHM 1% 1/10W 0603;1;Yageo;RL0603FR-070R01L;Farnell;8067767
R15;RES Thick Film, 220kΩ, 1%, 0.125W, 100ppm/°C, 0805;1;Yageo;RC0805FR-07220KL;Mouser;603-RC0805FR-07220KL
U1;SWITCH TACTILE SPST-NO 0.02A 15V;1;PANASONIC;EVP-AA502W;FARNELL;2831733
U2;TVS Diode WE-TVS-Standard, VRWM=5.0V;1;SEMTECH;SM05.TCT;Farnell;1456392
U3;IC INTFACE SPECIALIZED TSOT23-6;1;ANALOG DEVICES;MAX16054AZT+T;FARNELL;2515822
U4;IC BATT CHG LI-ION 1CELL 16QFN;1;TEXAS INSTRUMENTS;BQ24074RGTT;FARNELL;3123775
U5;IC REG LINEAR 3.3V 200MA SOT23-5;1;TEXAS INSTRUMENTS;TPS7A0533PDBVR;DIGIKEY;296-TPS7A0533PDBVRDKR-ND
U6;IC BATT FUEL GAUGE LICOO2 12SON;1;TEXAS INSTRUMENTS;BQ27441DRZR-G1A;FARNELL;3123775
U7;RF TXRX MODULE BT TRACE ANT SMD;1;INSIGHT SIP;ISP1807-LR-RS;DIGIKEY;1786-1019-1-ND
U10;IC MCU 32BIT 32KB FLASH 28SSOP;1;Infineon;CY8C4A45PVI-481;Digi-Key;448-CY8C4A45PVI-481-ND
U11,U12;LIGHTPIPE PNL MT CONVEX 0.250";2;DIALIGHT;515-1302-0250F;FARNELL;3775816
